Año;Periodo;Parámetro;2019;2020
2020;Año;Alemania;711.43;644.31
2020;Año;Austria;67.96;60.63
2020;Año;Bélgica;99.75;83.75
2020;Año;Bulgaria;42.22;37.44
2020;Año;Chipre;7.34;6.5
2020;Año;Croacia;17.78;16.98
2020;Año;Dinamarca;30.9;26.19
2020;Año;Eslovaquia;33.77;30.73
2020;Año;Eslovenia;14.01;12.56
2020;Año;España;251.5;208.92
2020;Año;Estonia;12.38;10.45
2020;Año;Finlandia;42.55;39.29
2020;Año;Francia;315.93;276.63
2020;Año;Grecia;65.74;52.24
2020;Año;Hungría;49.08;48.28
2020;Año;Irlanda;37.28;33.35
2020;Año;Italia;339.77;303.82
2020;Año;Letonia;7.65;6.77
2020;Año;Lituania;13.92;13.8
2020;Año;Luxemburgo;9.75;8.17
2020;Año;Malta;1.67;1.59
2020;Año;Países Bajos;153.6;138.1
2020;Año;Polonia;319.52;299.59
2020;Año;Portugal;47.63;40.39
2020;Año;República Checa;100.81;87.97
2020;Año;Rumania;74.85;71.48
2020;Año;Suecia;40.94;38.63
