Año;Periodo;Media mensual
1958;Marzo;315,7
1958;Abril;317,45
1958;Mayo;317,51
1958;Junio;317,24
1958;Julio;315,86
1958;Agosto;314,93
1958;Septiembre;313,2
1958;Octubre;312,43
1958;Noviembre;313,33
1958;Diciembre;314,67
1959;Enero;315,58
1959;Febrero;316,48
1959;Marzo;316,65
1959;Abril;317,72
1959;Mayo;318,29
1959;Junio;318,15
1959;Julio;316,54
1959;Agosto;314,8
1959;Septiembre;313,84
1959;Octubre;313,33
1959;Noviembre;314,81
1959;Diciembre;315,58
1960;Enero;316,43
1960;Febrero;316,98
1960;Marzo;317,58
1960;Abril;319,03
1960;Mayo;320,04
1960;Junio;319,59
1960;Julio;318,18
1960;Agosto;315,9
1960;Septiembre;314,17
1960;Octubre;313,83
1960;Noviembre;315
1960;Diciembre;316,19
1961;Enero;316,89
1961;Febrero;317,7
1961;Marzo;318,54
1961;Abril;319,48
1961;Mayo;320,58
1961;Junio;319,77
1961;Julio;318,57
1961;Agosto;316,79
1961;Septiembre;314,99
1961;Octubre;315,31
1961;Noviembre;316,1
1961;Diciembre;317,01
1962;Enero;317,94
1962;Febrero;318,55
1962;Marzo;319,68
1962;Abril;320,57
1962;Mayo;321,02
1962;Junio;320,62
1962;Julio;319,61
1962;Agosto;317,4
1962;Septiembre;316,25
1962;Octubre;315,42
1962;Noviembre;316,69
1962;Diciembre;317,7
1963;Enero;318,74
1963;Febrero;319,07
1963;Marzo;319,86
1963;Abril;321,38
1963;Mayo;322,25
1963;Junio;321,48
1963;Julio;319,74
1963;Agosto;317,77
1963;Septiembre;316,21
1963;Octubre;315,99
1963;Noviembre;317,07
1963;Diciembre;318,35
1964;Enero;319,57
1964;Febrero;320,01
1964;Marzo;320,74
1964;Abril;321,84
1964;Mayo;322,26
1964;Junio;321,89
1964;Julio;320,44
1964;Agosto;318,69
1964;Septiembre;316,7
1964;Octubre;316,87
1964;Noviembre;317,68
1964;Diciembre;318,71
1965;Enero;319,44
1965;Febrero;320,44
1965;Marzo;320,89
1965;Abril;322,14
1965;Mayo;322,17
1965;Junio;321,87
