Año;Periodo;China;Alemania;India;Indonesia;Japón;Rusia;Sudáfrica;Corea del Sur;EEUU;Kazajistán;Resto del mundo
1960;Año;748,38;707,21;88;1,82;139,14;585,16;87,44;10,24;917,96;80,39;1.785,96
1961;Año;522,48;711,65;95,02;1,53;160,87;574,96;90,47;11,9;887,44;81,35;1.804,66
1962;Año;411,93;732,01;103,41;1,3;154,21;571;93,26;13,92;920,82;83,38;1.842,66
1963;Año;406,13;761,69;110,58;1,59;155,34;592,01;96,61;16,77;987,01;88,31;1.893,22
1964;Año;401,57;755,62;106,08;1,21;160,21;609,36;102,55;18,33;1.049,18;92,88;1.917,56
1965;Año;432,99;716,92;116,62;0,76;165,75;629,9;111,1;19,64;1.090,62;97,61;1.910,92
1966;Año;469,77;680,1;117,15;0,9;170,45;651,11;109,05;22,53;1.132,72;102,16;1.894,63
1967;Año;383,6;653,87;119,27;0,62;181,5;655,9;112,91;23,41;1.163,05;104,9;1.866,48
1968;Año;412,72;659,63;124;0,47;200,12;648,67;118,48;20,05;1.139,6;105,87;1.893,07
1969;Año;501,18;686,18;123,54;0,56;221,02;657,66;120,71;20,03;1.158;108,77;1.923,75
1970;Año;665,87;603,23;123,73;0,43;229,26;702,84;123,9;23,28;1.168,09;114,4;1.940,98
1971;Año;736,42;588,13;127,15;0,55;206,39;716,5;133,43;23,54;1.107,41;118,95;1.941,06
1972;Año;770,72;553,58;134,57;0,52;200,22;738,43;137,86;24,52;1.124,84;123,64;1.884,46
1973;Año;783,74;561,93;138,01;0,36;214,39;746,02;137,24;28,76;1.212,44;126,58;1.904,34
1974;Año;776,1;565,84;145,85;0,44;229,19;747,54;140,35;29,54;1.199,6;128,79;1.902,81
1975;Año;906,64;515,98;161,57;0,55;213,42;769,74;144,47;30,68;1.168,06;134,08;1.964,79
1976;Año;910,39;555,97;169,16;0,45;208,38;789,86;151,76;33,8;1.309,64;138,9;2.024,1
1977;Año;998,61;516,65;177,76;0,51;204,52;802,3;158,6;37,06;1.327,84;142,52;2.063,33
1978;Año;1.117,45;523,74;174,94;0,55;174,74;797,6;161,54;36,35;1.379,72;144;2.086,71
1979;Año;1.147,55;549,17;180,88;0,65;190,94;798,16;179,98;46;1.443,85;145,44;2.174,14
1980;Año;1.122,66;551,18;197,62;0,71;224,3;841,15;194,06;49,42;1.484,47;152,58;2.236,61
1981;Año;1.125,01;557,75;210,61;0,79;247,36;761,61;218,15;59,93;1.535,71;143,65;2.177,21
1982;Año;1.248,86;550,81;213,43;0,86;242,63;771,65;230,75;60,57;1.482,82;146,54;2.211,44
1983;Año;1.321,84;553,74;232,85;1,2;229,8;765,6;239,82;64,56;1.546,1;147,6;2.252,61
1984;Año;1.454,2;572,33;231,82;1,88;260,18;760,23;264,78;77,64;1.651,5;148,85;2.280,97
1985;Año;1.584,51;579,38;253,65;3,67;271,79;866,02;273,53;87,83;1.684,18;166,71;2.475,83
1986;Año;1.657,39;573,76;273,56;8,06;257,47;893,98;280,3;91,15;1.647,44;176,03;2.488,64
