Año;Periodo;China;EEUU;India;Rusia;Japón;Resto del mundo
1902;Año;0,1;766,64;14,54;45,68;24,94;1.218,05
1903;Año;1,96;896,94;14,83;44,68;25,79;1.274,42
1904;Año;2,09;882,95;16,59;49,71;29,05;1.302,36
1905;Año;2,3;987,99;16,96;44,38;29,93;1.349,59
1906;Año;17,11;1.037,81;19,58;50,62;32,86;1.396,24
1907;Año;16,84;1.206,4;21,81;56,69;35,07;1.551,01
1908;Año;22,73;1.055,66;24,95;57,04;37,63;1.581,27
1909;Año;20,84;1.169,27;24,18;60,21;38,26;1.577,9
1910;Año;18,75;1.276,14;23,53;59,05;39,38;1.615,3
1911;Año;27,85;1.263,46;24,82;61,22;44,21;1.665,7
1912;Año;9,79;1.348,62;28,57;69,35;49,28;1.727,79
1913;Año;10,76;1.448,38;31,52;75,34;54,32;1.877,95
1914;Año;15,11;1.323,62;31,75;68;58,02;1.677,5
1915;Año;16,09;1.372,98;33,2;62,41;52,84;1.592,87
1916;Año;17,96;1.524,48;33,57;66,52;58,6;1.677,53
1917;Año;19,85;1.676,79;35,08;61,22;67,48;1.673,14
1918;Año;21,04;1.751,95;39,43;24,41;71,54;1.575,06
1919;Año;24,26;1.484,19;43,05;20,85;79,19;1.368,38
1920;Año;26,77;1.744,76;34,93;19,02;74,28;1.613,64
1921;Año;25,29;1.430,74;37,57;20,62;66,81;1.502,1
1922;Año;26,63;1.443,53;36,97;25,15;71,43;1.630,52
1923;Año;32,15;1.906,24;38,04;27,78;75,91;1.590,48
1924;Año;35,09;1.708,89;40,7;33,1;79,35;1.785,86
1925;Año;33,22;1.755,02;40,15;32,67;82,01;1.766,73
1926;Año;29,59;1.902,95;40,01;47,34;82,6;1.539,71
1927;Año;33,53;1.859,81;41,96;58,85;89,48;1.894,75
1928;Año;34,11;1.827,94;40,15;65,36;92,39;1.899,72
1929;Año;35,8;1.960,55;41,78;70,38;94,88;2.048,79
1930;Año;37,91;1.742,55;42,48;95,69;86,17;1.914,61
1931;Año;40,24;1.483,06;38,92;114,96;77,9;1.747,9
